1;Energie (kJ/100 g)
2;Energie (kcal/100 g)
3;Eau (g/100 g)
4;Prot‚ines (g/100 g)
5;Glucides (g/100 g)
6;Lipides (g/100 g)
7;Sucres (g/100 g)
8;Fructose (g/100 g)
9;Galactose (g/100 g)
10;Glucose (g/100 g)
11;Lactose (g/100 g)
12;Maltose (g/100 g)
13;Saccharose (g/100 g)
14;Amidon (g/100 g)
15;Fibres alimentaires (g/100 g)
16;Polyols totaux (g/100 g)
17;Cendres (g/100 g)
18;Alcool (g/100 g)
19;Acides organiques (g/100 g)
20;Cholest‚rol (mg/100 g)
21;Sel chlorure de sodium (g/100 g)
22;Calcium (mg/100 g)
23;Chlorure (mg/100 g)
24;Cuivre (mg/100 g)
25;Fer (mg/100 g)
26;Iode (æg/100 g)
27;Magn‚sium (mg/100 g)
28;ManganŠse (mg/100 g)
29;Phosphore (mg/100 g)
30;Potassium (mg/100 g)
31;S‚l‚nium (æg/100 g)
32;Sodium (mg/100 g)
33;Zinc (mg/100 g)
34;R‚tinol (æg/100 g)
35;BetaNULLCarotŠne (æg/100 g)
36;Vitamine D (æg/100 g)
37;Vitamine E (mg/100 g)
38;Vitamine K1 (æg/100 g)
39;Vitamine K2 (æg/100 g)
40;Vitamine C (mg/100 g)
41;Vitamine B1 ou Thiamine (mg/100 g)
42;Vitamine B2 ou Riboflavine (mg/100 g)
43;Vitamine B3 ou PP ou Niacine (mg/100 g)
44;Vitamine B5 ou Acide pantoth‚nique (mg/100 g)
45;Vitamine B6 (mg/100 g)
46;Vitamine B9 ou Folates totaux (æg/100 g)
47;Vitamine B12 (æg/100 g)
